,,,,,,,,,,,,,,,,
,Nombre documento,imagen/documento,Comentario al documento,Es un  Certificado de materiales con un código de material de la lista?,Es CM y el codigo debería encontrase exacto o aproximado?,Código que estamos buscando,codigo,Output,Código a buscar,Test 1 assistente Xavi,Prueba 1 buscar lista PDF,Prueba 1 Resultado de buscar código de lista con assistente Search,Test 1 ok/ko,Test 3 buscar por código de material o similar,Diagnostico prueba,
,T00982574-11601P01,Doc,Es claro,no,Buscamos cosas que puedan ser codigos ,"No aparece un código de la lista, si aparece; PUSHING PIN ASSEMBLY (11601)",,,11601,,Not found,Not found,ok,,"No encuentra el material de la lista, es ok por que aparentemente no está si busco por el código PUSHING PIN ASSEMBLY (11601), si lo encuentra",ok
,V885-74692-000W6000-01A00-,Imagen,Es mas o menos clara ,si,Exacto,El código que aparece es: 42CrMoS4 (+QT),,,42CrMoS4 (+QT),,Not found,42CrMoS4+QT+ equivalente 1.7225,ok,,,ok
,MC_T000995752-20302P01.pdf,Doc,Hay certificado de recepción y materiales,si,Aproximado,"Amstrong Ultra 690QL1, en la lista aparece S690Q",,,S690Q,,"ok, pero no discrimina si es en el certificado de materiales o de recepción",ko devuelve materiales de la lista que no están en la imagen,ko,,,
,MC_T000995752-70008P01,Imagen ,Es un certificado de calidad ok pero sin equivalencias en la lista,no,Buscamos cosas que puedan ser codigos ,POdria ser Colada/heatA0804976 o plate316,,,Plate 316,,Not found,"The document appears to be a delivery note or documentation delivery form related to an order. It includes details such as the type of document requirement, supplier, order number, date, part number, and quantity. However, it does not contain any material codes or references to specific materials from the provided list.
If you need further assistance or have another document to search, please let me know!",ok,,,
,MC_TLAP01F46C551723000-0019.pdf,Doc,Es un certificado de calidad pero lo pone al final,si,Aproximado,Parece este: PA-6 G pero lo mas parecido en la lista es: PA-66,,,PA-66,,found-not in list,"The document you provided is a delivery note for materials. The material mentioned in the document is:
PA-6 G (Polyamide 6, cast)
This material is also referred to by commercial names such as Ertalon and Nylon.
There is no direct match for PA-6 G in the provided list of materials. The provided list contains various steel, aluminum, and copper alloys, but no polyamide or nylon materials.
If you need further assistance or have more documents to analyze, please let me know!",ok,,,
,MC_TO55014Z00-F46C551_030012.pdf,imagen,Es un certificado de calidad,si,Exacto,"Aparece 42CrM04, en la lista aparece uno similar 42CrMoS4

",,,42CrMoS4,,found with error,"The document appears to be a delivery note or documentation delivery form. It includes details such as the type of document requirement, supplier, order number, date, part number, and quantity.
The material code mentioned in the document is ""TO55014Z00-F46C551_030012""[1].
This specific material code does not seem to match any of the material codes listed in your provided lists. The format and structure of the code are different from the codes in your lists, which typically follow standards like ""S2355J0H"", ""1.0547"", ""S690Q"", etc.
If you need further assistance or a more specific match, please provide additional context or details.",ko,,,
,MC_TO55015Z00-F46C551_010301,Imagen ,Es un certificado,SI,Aproximado,"AL6082 T6 - en la lista aparece EN AW-6082T6
",,,EN AW-6082T6,,found with error,"The document appears to be a ""Documentation Delivery"" form related to a specific order. The material code mentioned in the document is ""TO55015Z00-F46C551_010301""[1].
This material code does not directly match any of the material codes listed in the provided lists. The provided lists contain codes such as ""S2355J0H"", ""1.0547"", ""S690Q"", etc., which are standardized material codes often used in engineering and manufacturing.
The differences are:
The format of the material code in the document (""TO55015Z00-F46C551_010301"") does not match the standardized formats in the provided lists.
The document's code appears to be a specific identifier, possibly internal to a company or project, rather than a standardized material designation.
If you need further assistance or a specific match, please provide additional context or details.",ko,,,
,MC_U632A000005000001_S9702.pdf,imagen,Certificado de calidad. Una imagen muy mala ,si,Aproximado,"S355 J2 + en 10025-2, lo mas parecido en la lista es S355JR",,"S355JR - Found in the list of materials.
S275JR - Found in the list of materials.
S235JR - Found in the list of materials.
1.0038 - Found in the list of other denominations of materials equivalents.
1.0045 - Found in the list of other denominations of materials equivalents.",S355JR,,found,,,,"Ha encontrado lo mas parecido pero, devuelve algunos que no están en el pdf",
,MC_U632A00000500005_S9702,imagen,Certificado de calidad. Imagen muy mala,si,Aproximado,"Parece que es S35512H o EN10219, lo mas parecido es el S355JR",,"S355JR[1]
S275JR",S355JR,,found with error,"The document appears to be a delivery note or documentation delivery form for a material order. The material code referenced in the document is U632A00000500005_S9702[1].
This code does not directly match any of the material codes listed in the provided lists. The provided lists contain material codes like S2355J0H, 1.0547, S690Q, 1.8931, etc., which follow standard material naming conventions.
If you need further assistance or more specific information, please let me know!",ko,,ha encontrado lo más parecido pero no exacto,
,MC_U632A00000500998_S9702,imagen,Parece una certificado de calidad y uno de colada/inspección. imagen pesima,no,Buscamos cosas que puedan ser codigos ,No puedo identificar el numero de nada por que no se ve.. lo he intentado con varios,,"1.1191 - Found in the list of materials.
1.7225 - Found in the list of materials.
1.7227 - Found in the list of materials.
1.7131 - Found in the list of materials.
1.4301 - Found in the list of materials.
1.4401 - Found in the list of materials.
1.0038 - Found in the list of materials.
1.0039 - Found in the list of materials.
1.0044 - Found in the list of materials.
1.0045 - Found in the list of materials.
1.0547 - Found in the list of materials.
1.8931 - Found in the list of materials.",n/A,,not found,,ok,,Encuentra códigos que no se pueden validar y que probablemente no estén todos,
,MC_U632A00000500099_S9702,imagen,Certificado de material. Se ve muy clarita ,Si,Aproximado,"S355J2+AR, lo mas parecido es S355JR",,"C45E - Found in the list of materials.
1.1191 - Found in both the list of materials and the list of other denominations of materials equivalents.
F-114 - Found in both the list of materials and the list of other denominations of materials equivalents.
Ck45 - Found in both the list of materials and the list of other denominations of materials equivalents.",S355JR,,not found,"""The document appears to be a certificate of material for a specific part. Here are the details extracted:
Document Type: Certificate of Material
Supplier: PISSMEC S.L
Order Number: C-PE23/01739
Date: 05/07/2024
Part Number: U632A00000500099_S9702
Quantity: 4
Unfortunately, the document does not explicitly list a material code that matches the provided list. If you need further assistance or a more detailed search, please let me know!""",,,No encuentra lo mas parecido,
,MC_V885-74692-000W6000-01A00-20301P01,doc,"Se ve bien, pdf con entridades diferenciables y cabeceras descriptivas",Si,Exacto,Parece que Formodal -030-PLAN O EN AW5080 gUSS. En la lista aparece AW5083,,"1.7225 - Found in the list of materials[1].
1.7227 - Found in the list of materials[2].
1.1191 - Found in the list of materials[3].
1.4301 - Found in the list of materials[4].
1.4401 - Found in the list of materials[5].
S235JR - Found in the list of materials[6].
S275JR - Found in the list of materials[7].
S355JR - Found in the list of materials[8].
S355J0H - Found in the list of materials[9].
S275J0H - Found in the list of materials[10].",AW5083,,found,,,,No encuentra lo mas parecido,
,MC_V885-74692-000W6000-01A00-20801P01,imagen,"Mala calidad de imagen, escaneada al reves",si,Exacto,Parece que hay que encontrar AW5083 QUE ESTÁ EN LA LISTA,,EN AW-5083,AW5083,,found,"The document appears to be a delivery note or documentation delivery form for a specific order. It includes details such as the supplier, order number, date, part number, and quantity. The material code mentioned in the document is ""5083,"" which corresponds to ""EN AW-5083; L-3321; AlMg4,5Mn0,7"" from the provided list.
Here is the relevant part of the document:
Material code: 5083
This matches with:
EN AW-5083; L-3321; AlMg4,5Mn0,7
If you need further details or another specific material, please let me know!",,,ok,
